id,area,page_or_entity,what_is_wrong,how_you_saw_it,severity,proposed_fix,status
X-02,Build config,vite.config.js,"Vite logLevel is set to 'error', which hides the >500 KB chunk-size warning and every other build warning, so bundle bloat goes unnoticed.","vite.config.js line: logLevel: 'error', // Suppress warnings, only show errors; build output shows no chunk warning despite a 3.69 MB chunk",minor,Set logLevel back to 'warn' (or 'info') and optionally build.chunkSizeWarningLimit so regressions show up.,open
X-04,Code quality,52 files under src/components and src/pages,"ESLint fails: 90 errors (89 unused imports plus 1 config error). This isn't blocking now, but 'npm run lint' can't be used as a CI gate.","run_command: npx eslint . --quiet -> '90 problems (90 errors, 0 warnings) 89 errors ... potentially fixable with the --fix option'",minor,"Run 'npm run lint:fix' once (auto-removes the unused imports), then keep lint clean.",open
X-05,Code quality,src/lib/useSongFavourites.js:110,"An eslint-disable comment names rule 'react-hooks/exhaustive-deps', but that rule is not active in eslint.config.js, so ESLint reports a config error and hooks dependency bugs are not checked anywhere.",eslint output: '110:5 error Definition for rule 'react-hooks/exhaustive-deps' was not found',minor,"Enable pluginReactHooks.configs.recommended rules (rules-of-hooks + exhaustive-deps) in eslint.config.js, or remove the stale disable comment.",open
X-06,Code quality,eslint.config.js,"Lint only covers src/components, src/pages and src/Layout.jsx. src/App.jsx, src/lib, src/fws, src/hooks and src/utils are never linted, which is why 25 unused page imports in App.jsx went unflagged.","eslint.config.js files: ['src/components/**','src/pages/**','src/Layout.jsx'], ignores src/lib/**",minor,"Widen the files glob to src/**/*.{js,jsx} (keep ignoring components/ui).",open
X-08,Dead code,"src/pages/OAuthConsent.jsx, src/pages/kasvunpolku/SharedCalendars.jsx","Two page files are not imported or routed anywhere, so they can't be reached.",run_command: grep across src for an import of each page basename -> no importer for these two,minor,"Route them if needed (e.g. an OAuth consent flow), otherwise delete them.",open
X-09,Routing,/my-child/* and /kasvunpolku/* redirects,"Some legacy redirects take two hops: /my-child/first-words -> /parent/first-words -> /parent/playground/words; /my-child/path -> /parent/path -> /parent/playground/path; /my-child/reading-numbers -> /parent/reading-numbers -> /parent; first-moments the same. All of them end on a real route (none are broken), but the /my-child/* and /kasvunpolku/* ones sit inside AppShell, so the staff shell mounts before the parent redirect.","Code read of src/App.jsx Navigate/LegacyRedirect targets, cross-checked against the defined paths; no duplicate path= values (sort | uniq -d empty)",minor,"Point the legacy Navigate targets straight at the final path, and move the /my-child/* and /kasvunpolku/* redirects out of the AppShell element.",open
X-12,PWA,public/manifest.json,"The manifest start_url is /parent/dashboard, which is only a redirect to /parent. The same single generated PNG is declared as both the 192x192 and 512x512 icon with purpose 'any maskable'. The icon is hosted off-site on media.base44.com, so an installed PWA icon depends on third-party hosting.",Read public/manifest.json,minor,Set start_url to /parent. Ship real 192 and 512 PNG icons in public/ with separate 'any' and 'maskable' entries.,open
X-14,Build,Tailwind classes,"The build warns that the classes duration-[250ms] and duration-[400ms] are ambiguous (they match multiple utilities), so the intended transition duration may not apply. The browserslist/caniuse-lite data is also 7 months old.",Build log /tmp/build.txt in the sandbox: 'warn - The class `duration-[250ms]` is ambiguous and matches multiple utilities.',minor,Use duration-250 / duration-400 (or [transition-duration:250ms]). Run npx update-browserslist-db@latest.,open
X-17,SEO,Platform SEO,"No SEO scan has ever been run for the app (the SEO summary is null). The published slug URL is https://nordic-pedagogy-flow.base44.app and stays live alongside finniped.com, which risks duplicate-content indexing unless it redirects or sets a canonical.","execute_api GET /seo/summary -> {""result"":null}; GET /published-url -> {""url"":""https://nordic-pedagogy-flow.base44.app""}",minor,"Run an SEO scan. Add <link rel=""canonical""> pointing to finniped.com, or redirect the base44.app slug to it.",open
X-18,Public assets,public/,"No oversized assets: public/ is 24 KB in total (manifest.json, parent-sw.js and 3 sample JSON files) and nothing is over 500 KB. There are no local images at all. All imagery is remote: 10 Unsplash photos at w=1800 in src/components/training/ttHelpers.jsx, which are heavy for mobile hero images.",run_command: du -sh public -> 24K; find public -size +500k -> none; grep of src for image URLs,minor,"Request Unsplash images with w=800 plus srcset for mobile, or self-host optimised WebP copies.",open
T-48,Crash risk,Curriculum day page,"All .map calls on optional arrays checked (DailyPlan, CurriculumDay/Week, EveningDay/Week, ActivityCurriculum, KnowledgeHub, etc.) are guarded with ?.length > 0; no unguarded crash found",grep of '\.[a-z_]+\.map(' in src/pages (22 sites checked),minor,No change,open
T-51,Email placeholders,Forms,"Input placeholders use example.com (school@example.com, parent@example.com, you@example.com). Acceptable as hints; no fake names found in visible text (no lorem, John Doe, Test User)",src/pages/Schools.jsx:108; src/pages/admin/ParentPlatformLaunch.jsx:127; src/pages/TrainingRegister.jsx:116; src/components/kasvunpolku/InviteParentDialog.jsx:101,minor,Optional: 'name@yourschool.lk',open
X-03,Auth / routing,"/parent-login, /register-training, /player","The routes marked as public ('no auth required') sit inside AuthenticatedApp, which returns navigateToLogin() before <Routes> renders whenever the public-settings call answers auth_required. If the app is set to private, anonymous parents/trainees are sent to the Base44 login page and never see these public pages. Could not confirm on the live site (see X-15).","Code read: src/App.jsx AuthenticatedApp -> if (authError.type === 'auth_required') { navigateToLogin(); return null; } comes before <Route path=""/parent-login""> and <Route path=""/register-training"">; src/lib/AuthContext.jsx sets auth_required from the /public-settings 403",major,"Render the public routes outside the auth gate (e.g. check location.pathname against a PUBLIC_PATHS list before calling navigateToLogin, or wrap only private routes in a guard). Then check logged-out in an incognito window.",open
X-15,Audit coverage,https://finniped.com (all pages),"LIVE-SITE CHECKS NOT DONE: the audit environment could not reach finniped.com. Playwright gets net::ERR_TUNNEL_CONNECTION_FAILED from the egress proxy, and the local curl HEAD checks (Unsplash, media.base44.com, esm.sh, finniped.com) were blocked or returned 000. Console errors, failed requests, load time, mobile overflow, alt text and broken images on the live pages are still unverified, and so are the 10 external image URLs.","Playwright run (scratchpad audit_r1.js): all 10 page/width combinations -> 'page.goto: net::ERR_TUNNEL_CONNECTION_FAILED'; curl -> http_code 000. Screenshots were Chrome error pages and were deleted, not kept as evidence.",minor,"Re-run audit_r1.js (in the scratchpad) from a machine with open internet access, or allow finniped.com, images.unsplash.com, media.base44.com and esm.sh in the agent proxy.",open
